nama_usaha,alamat_usaha,badan_usaha,penanggung_jawab,wilayah,no_telepon,no_fax,jenis_usaha,kapasitas
Bearly,Jl. Tanjung Duren Barat III No. 1,PT. Ciko Pelangi Nada,"Tjoeng Tjiang Hie, SE",Jakarta Barat,,,Restoran,10/40/B
Bengkong Laut,Jl. Duri Kosambi Raya Blk C/1B,,Rudi Pranata Tjoa,Jakarta Barat,021 99110111,,Restoran,14/50/B
Biero,Citra 6 Blok J.5.A No. 10 RT003/RW015,PT. Citra Sukses Bogarasa,Tommy,Jakarta Barat,,,Restoran,15/70/A
Bima,"Mal Ciputra Lantai V Unit 31 A, Jl. Arteri. S. Parman",PT. Nav Bima Pratama,Jakub Setjoatmadja,Jakarta Barat,021 5662277,021 5661390,Restoran,10/50/B
Black Ball,"Central Park Lt. 1, Jl. Letjen. S. Parman Kav. 28",PT. Fresco,Ledianto Darwinto Tjhin,Jakarta Barat,021 29200213,021 29200213,Restoran,10/20/B
Bliss Garden,Jl. Gajah Mada No. 82,Titus Yuwono,Titus Yuwono,Jakarta Barat,,,Restoran,15/50/B
Blitzmegaplex,"Central Park, Jl. Letjend S.Parman Kav. 28",PT. Graha Layar Prima,Bratanata Perdana,Jakarta Barat,021 56988888,021 56985100,Restoran,12/48/B
Bon Chon Chicken,Jl. Letjen. S.Parman Kav. 21 UGL T09,PT. Michelindo Food International,Michelle Elizabeth,Jakarta Barat,,,Restoran,10/50/B
Bon Chon Chicken,Jl. Letjen. S.Parman Kav. 21 UGL T09,PT. Michelindo Food International,Michelle Elizabeth,Jakarta Barat,,,Restoran,10/50/B
Bonchon Chicken,"Jl. Letjen.S.Parman, Jl.Tanjung Duren Raya",PT. Michelindo Food International,Michelle Elizabeth,Jakarta Barat,,,Restoran,12/42/B
Breakfast Lunch Dinner,Jl. Puri Indah Boulevard Blok U1,PT. Nashville International,Nikko Wonoto,Jakarta Barat,021 55777775,021 55777775,Restoran,20/80/A
Brooaster Chicken,Jl. Daan Mogot,PT. Usaha Sari Boga,Edi Amin,Jakarta Barat,,,Restoran,10/40/B
Brooaster Chicken,Jl. Arteri S. Parman Lt.V Unit 22B,PT. Usaha Sari Boga,Edi Amin,Jakarta Barat,,,Restoran,14/60/A
Brussels Spring,"Central Park, Jl. Letjen.S.Parman",CV. Anugrah Bersama,Bert Melvin,Jakarta Barat,021 29200008,021 29200008,Restoran,10/32/B
Brussels Spring,"Central Park, Jl. Letjen.S.Parman",CV. Anugrah Bersama,Bert Melvin,Jakarta Barat,021 29200008,021 29200008,Restoran,10/32/B
Bullfrog,Jl. Raya Pejuangan No. 21,Ir. Pudjiarso H. Prakoso,Ir.Pudjiarso H.Prakoso,Jakarta Barat,021 5323769,021 5323769,Restoran,5/20/B
Bumbu Desa,Jl. Raya Panjang No. 10,Nurcahya Arianegara,Nurcahya Arianegara,Jakarta Barat,,,Restoran,30/120/A
Burger King,"Mall Ciputra LG, Jl. Letjen S. Parman",PT. Sari Burger Indonesia,Jusroni,Jakarta Barat,021 5607588,021 56954880,Restoran,15/60/A
Burger King,"Puri Indah Mall Lt. 2 Unit 232-232A-233, Jl. Puri A",PT. Sari Burger Indonesia,Jusroni,Jakarta Barat,021 5822608,021 5822454,Restoran,20/100/A
Burger King,Jl. Letjen. S. Parman Kav. 28,PT. Sari Burger Indonesia,Jusroni,Jakarta Barat,021 56985601,021 56985601,Restoran,10/50/B
Burger King,"Hayam Wuruk Plaza GF, Jl. Hayam Wuruk No. 1",PT. Sari Burger Indonesia,Jusroni,Jakarta Barat,021 6241080,021 6241080,Restoran,51/222/A
Burger King,Central Park LG. 248 Jl. Letjen. S. Parman,PT. Sari Burger Indonesia,Jusroni,Jakarta Barat,021 56985601,021 56985601,Restoran,10/50/B
