nama_usaha,alamat_usaha,badan_usaha,penanggung_jawab,wilayah,no_telepon,no_fax,jenis_usaha,kapasitas
Dijan's Resto,Jl. Kemang Selatan No. 102A,,Dian  Gondo Koesoemo,Jakarta Selatan,021 71793538,,Restoran,20/80/A
D'ilario,Jl. KH. Syafei Hadzami No. 1,PT. Bertu Indonesia,Margono Lismanto,Jakarta Selatan,021 5701912,021 5700015,Restoran,15/60/B
Dim Sum Inc.,"Pasar Festival Unit GF 07, Jl. HR. Rasuna Said Kav. C-22",-,Ryko Pangadjaja,Jakarta Selatan,021 5263212,021 5263141,Restoran,10/40/B
Dim Sum Inc.,Jl. HR. Rasuna Said Kav. C.22,,Ryko Pangadjaja,Jakarta Selatan,,,Restoran,10/40/B
Dim Sum Inc.,"Gd. Arcade, Jl. Kemang Raya No. 20A",-,Ryco Pangadjaja,Jakarta Selatan,021 7182249,021 7182249,Restoran,7/36/B
Din Tai Fung,"Mall Pondok Indah 2, Jl. Metro Pondok Indah, Kebayoran Lama",PT. Dhanajaya Bogaindo,Dendy Sjahada Harjanto,Jakarta Selatan,021 75920986,021 75920984,Restoran,28/78/A
Din Tai Fung,"Lotte Shopping Avenue Ciputra World, Jl. Prof. Dr. Satrio Kav. 3-5, Karet Kuningan, Setiabudi",PT. Dhana Jaya Bopga Indo,Dendy Sjahada Harjanto,Jakarta Selatan,021 57952500,021 57952505,Restoran,12/36/B
Din Tai Fung,"Pacific Place Mall Lvl. 5C, Jl. Jend. Sudirman Kav. 52-53",PT. Dhanajaya Bogaindo,Dendy Sjahada H,Jakarta Selatan,021 57973151,,Restoran,20/80/A
Din Tai Fung,"Gd. World Trade Center II Lt. Ground, Jl. Jend Sudirman",PT. Dhanajaya Bogaindo,Dendy Sjahada H,Jakarta Selatan,021 55911050,021 5590431,Restoran,15/50/B
Disshima,Jl. Jend.Sudirman Kav. 52-53,PT. Shima Raras Cahaya Abadi,Yosep Aryo Indarto,Jakarta Selatan,021 5153534,021 5151813,Restoran,21/70/A
Diva,Jl. Tebet Raya No. 64 RT002/RW004,PT. Swara Indah Lestari,Tjhin Dianawi,Jakarta Selatan,,,Restoran,14/50/B
Diva,Jl. RC. Veteran No. 1,PT. Wahana Musika Keluarga,Ferry Suryanto,Jakarta Selatan,,,Restoran,10/40/B
Diva,"Apartemen Gardenia Boulevard Lt. Dasar, Jl. Warung Jati Barat, Warung Buncit",PT. Swara Indah Lestari,Tjhin Dianawi,Jakarta Selatan,,,Restoran,10/50/B
Diva,"Kalibata City Square, Jl. Kalibata Raya No. 1",PT. Swara Indah Lestari,Tjhin Dianawi,Jakarta Selatan,,,Restoran,4/12/C
Do' An,Jl. TB.Simatupang Kav. 17,PT.Anugrah Boga Sejahtera,Grace K Tanuwihardja,Jakarta Selatan,021 75920298,,Restoran,24/48/B
Do Re Mi Do,Komp. Wijaya Graha Puri Blok C 31/32,PT. Kayindo Jaya Mandiri,Sumiyati,Jakarta Selatan,021 7243470,021 7399916,Restoran,20/80/A
Dominos Pizza,"Kalibata City Square Tower K GF, Jl. Kalibata Raya",PT. Dom Pizza Indonesia,Ir. Jusroni,Jakarta Selatan,021 5745808,021 5745753,Restoran,12/48/B
Dominos Pizza,"Kalibata City Square Tower K GF, Jl. Kalibata Raya",PT. Dom Pizza Indonesia,Ir. Jusroni,Jakarta Selatan,021 5745808,021 5745753,Restoran,12/48/B
Domino's Pizza,"Blok M Plaza UG 12, Jl. Bulungan No. 76",PT. Dom Pizza Indonesia,Ir. Jusroni,Jakarta Selatan,021 7209445,021 7209460,Restoran,24/54/A
Domino's Pizza,"Bellagio Boutique Mal, Jl. Mega Kuningan Barat Kav. E4/3, Kuningan Timur",PT. Dom Pizza Indonesia,Jusroni,Jakarta Selatan,,,Restoran,5/20/B
Domino's Pizza,"Pejaten Village, Jl. Warung Jati Barat No. 39",PT. Dom Pizza Indonesia,Ir. Jusroni,Jakarta Selatan,021 5745808,021 5745753,Restoran,20/50/B
Domino's Pizza,"The Bellezza Shopping Arcade, Jl. Letjen. Supeno, Arteri Permata Hijau No. 34",PT. Dom Pizza Indonesia,Ir. Jusroni,Jakarta Selatan,,,Restoran,18/44/B
Domino's Pizza,Jl. RS. Fatmawati No. 1 F RT001/RW009,PT. Dom Pizza Indonesia,Ir. Jusroni,Jakarta Selatan,,,Restoran,12/32/B
Domino's Pizza,Jl. MT Haryono Kav. 25-26,PT. Dom Pizza Indonesia,Jusroni,Jakarta Selatan,,,Restoran,14/36/B
Domino's Pizza,"Mal Cilandak Lantai Dasar, Jl. Raya Cilandak KKO",PT. Dom Pizza Indonesia,Ir. Jusroni,Jakarta Selatan,,,Restoran,10/30/B
Domino's Pizza,"Thamrin City-Lobby LD Thamrin Terrace, Jl. KH. Mas Mansyur, Thamrin",PT. Dom Pizza Indonesia,Ir. Jusroni,Jakarta Selatan,,,Restoran,10/30/B
Domino's Pizza,Jl. Bulungan No. 76,PT. Dom Pizza Indonesia,Jusroni,Jakarta Selatan,021 7209445,021 7209460,Restoran,24/54/A
Don Sancho,Jl. Melawai VIII No. 4 A Lt. 2,PT.Lintas Nada Khatulistiwa,Wenny Setiowati,Jakarta Selatan,021 7208123,021 7208123,Restoran,10/40/B
Door 858,Jl. Ciputat Raya No. 11 RT009/RW008,PT. Teguh Pundi Kencana,Teguh Susanto,Jakarta Selatan,,,Restoran,15/60/A
Double Decker Deli,Jl. TB.Simatupang Kav. 17,PT. DDD Boga Lestari,Tina Effendi,Jakarta Selatan,021 7505532,,Restoran,5/20/C
Double Dips,Jl. Jend. Gatot Subroto No. 38,PT. Sinar Harapan Abadi,Vivi Mardalena Kurniawan,Jakarta Selatan,,,Restoran,19/31/B
Double Dips Resto,Jl. Kuningan Barat Raya No. 9 RT003/RW002,PT. Sinar Harapan Abadi,Bambang Subagio Hadiwidjojo,Jakarta Selatan,021 30067822,021 58908241,Restoran,14/38/B
Downtown Bistro,Jl. Jend. Sudirman No. 1,PT. Aneka Kopi Indonesia,Anthony Tjandra,Jakarta Selatan,,,Restoran,15/50/B
Dragon Flames,Jl. Kemang Raya No. 29,PT. Linijati Arthaprima,Novarmi Bakti Massewa,Jakarta Selatan,021 5330484,021 5330484,Restoran,12/45/B
Dragonfly,"Graha BIP, Jl. Jend. Gatot Subroto Kav. 23",CV. Trimaya Jaya,Ariyanto,Jakarta Selatan,,,Restoran,20/80/A
Drift Coffee Shop,"Kuningan City Mall Lt. 2 Unit L2-19, Jl. Prof. Dr. Satrio Kav. 18",PT. Zahara Indomisi,Christina Asriningtias,Jakarta Selatan,021 83709208,021 83709209,Restoran,11/30/B
D'storm,"Pacific Place Mal Unit B. 1-45 Lt.B.1, Jl. Jend. Sudirman Kav. 52-53",PT. Usaha Entertainment Indonesia,Lie Kuang Heng,Jakarta Selatan,021 57973382,021 57973382,Restoran,20/80/A
Duta Parama Sentosa,Jl. Iskandar Muda No. 25 RT006/RW009,PT. Galaxi Chandra Purnama,Laksana Muljadi D.,Jakarta Selatan,021 7290333,021 7290333,Restoran,25/100/A
E & O,Jl. DR. Ide Anak Agung Gde Agung Lot#5.1,PT. Selera Karya Bersama,Winfred Hutabarat,Jakarta Selatan,021 5761301,021 5761301,Restoran,15/50/B
Eastern Promise,Jl. Kemang Raya No. 5,PT. Dwi Batara Boga,Rusmiyati,Jakarta Selatan,021 7996151,021 71790151,Restoran,10/30/B
Eatalia,"Cilandak Town Square, Jl. TB. Simatupang Kav. 1",PT. Eataly Boga Indonesia,Prima Martinelly,Jakarta Selatan,021 2904281,021 29042817,Restoran,17/36/B
Eaton,Jl. TB.Simatupang RT006/RW009,PT. Cita Rasa Delindo,Hartanto Rusli,Jakarta Selatan,021 75920307,,Restoran,16/48/B
Eaton,Jl. Wolter Monginsidi No. 95 Blok Q/III,PT. Vinistar Cullinary,Djony Yahja,Jakarta Selatan,,,Restoran,10/40/B
Eaton,"Pejaten Village, Jl. Warung Jati Barat No. 39",PT. Cita Rasa Delindo,Hartanto Rusli,Jakarta Selatan,,,Restoran,10/40/B
Eaton,Jl. Jend. Gatot Subroto Kav. 9-11,PT. Citra Rasa Delindo,Hartanto Rusli,Jakarta Selatan,,,Restoran,16/40/B
Eaton,Jl. Wolter Monginsidi No. 95 Blok Q/III,PT. Vinistar Cullinary,Djony Yahja,Jakarta Selatan,,,Restoran,10/40/B
Eaton & Ahmei,"The Arcade @ Oakwood, Jl. Lingkar Mega Kuningan Blok E4.2 No. 1",PT. Mestika Mitra Makmur,Halim Susanto,Jakarta Selatan,021 29956151,021 29956152,Restoran,12/24/B
Ebeya,"SCBD, Jl. Jend. Sudirman Kav. 52-53",PT. A E Abadi,Toshiro Asari,Jakarta Selatan,021 5152299,021 51400988,Restoran,5/40/B
Ebisu,Jl. Melawai Raya No. 189 B Lt. 2,PT. Ullysses,Iwan Setiawan,Jakarta Selatan,021 7221153,021 7235639,Restoran,10/40/B
Echigoya,Jl. Melawai VIII No. 2-A Blok B,PT. Echigoya Indonesia,Pinnywati Chandra,Jakarta Selatan,,,Restoran,10/50/B
Echigoya,Jl. Melawai VIII No. 2-A Blok B No. 3,PT. Sanwa Indonesia,Pinnywati Chandra,Jakarta Selatan,021 7396063,021 7396063,Restoran,15/30/B
Echigoya,Jl. Melawai VIII No. 2-A Blok B No. 3,PT. Sanwa Indonesia,Pinnywati Chandra,Jakarta Selatan,021 7396063,021 7396063,Restoran,15/30/B
El - Asador Restaurant,"Gd. Kemang Point, Jl. Kemang Raya No. 3",PT. Kuliner Latinesia,Dhani Isti Adityanti,Jakarta Selatan,021 29303690,021 29303686,Restoran,10/50/B
El Gaucho,"Lippo Mall Kemang, Kemang Village, Jl. Pangeran Antasari No. 36, Kemang",CV. Akasya Bersaudara,Akasyah,Jakarta Selatan,,,Restoran,26/84/A
El Greco Gourmet Café,Jl. HR. Rasuna Said Kav. 62 Lt. Dasar Unit B 10,PT. Grecoindo,Ir. Havid Agung Haryosaputro,Jakarta Selatan,021 53690086,021 53690087,Restoran,14/60/A
Elbow Room,Jl. Kemang Raya 24 A,PT.Citra Rasa Bersama,Lydia Hertadi,Jakarta Selatan,,,Restoran,14/62/A
Elmanna Cafe,"Gd BSS, Jl. Ampera Raya No. 5",PT. Elmanna,"Narayana Soedowo, SE",Jakarta Selatan,021 7183451,,Restoran,10/40/B
Empirica Lounge And Bar,"Kawasan Niaga Bisnis SCBD Lot. 8, Jl. Jend. Sudirman Kav. 52-53",PT. Indiglo Inti Mandiri,Yan Surya Kusuma,Jakarta Selatan,,,Restoran,27/52/A
Entrada,"18 Parc Office Building, Jl. Jend.Sudirman Kav. 5",PT. Entrada Penta Jaya,Kwik Ing Lan,Jakarta Selatan,021 5153121,021 5153070,Restoran,30/120/A
Espiga,"Gd. CEO Lt. 16,17,18, Jl. TB. Simatupang No. 18",PT. Ranadi Boga Utama,Zakie Mubarak Yos,Jakarta Selatan,021 5270583,021 5270630,Restoran,14/50/B
Euphoria Lounge,Jl. Lingkar Mega Kuningan Blok 6.2,PT. Surya Adhikara Jaya,Caroline Yunita Iwo,Jakarta Selatan,021 75947777,021 57947778,Restoran,30/120/A
Euro Café,Jl. Jend. Sudirman Kav. 54-55,PT. Utama Sahabat Abadi,Andre Widarto Soeprapto,Jakarta Selatan,021 5278068,,Restoran,10/50/B
Excelsior Resto & Gallery,Jl. Radio Dalam Raya No. 26,CV. Excelsior,Anthony Kurniadi,Jakarta Selatan,,,Restoran,12/50/B
Exchange Club,Jl. HR. Rasuna Said Kav. 1,PT. Multi Satya Graha,Ikhwan Martias,Jakarta Selatan,,,Restoran,15/50/B
Exodus,"Kuningan City, Jl. Prof. DR. Satrio Kav. 18",PT. Makmur Abadi Karya,Rudy Susanto,Jakarta Selatan,,,Restoran,10/50/B
Fable,"SCBD Lot. 14, Jl. Jend. Sudirman Kav. 52-53",PT. Tri Java,Michael Jason Kurniawan,Jakarta Selatan,021 5151501,021 51545264,Restoran,10/40/B
Fair Ground,"Kawasan Niaga Terpadu Sudirman, Jl. Jend. Sudirman",PT. Lima Dua Lima Tiga,"Prasetyo Edi Marsudi, SH",Jakarta Selatan,021 5155008,021 5155264,Restoran,40/160/A
Family Mart,Jl. Bulungan 18 B RT011/RW007,PT. Fajar Mitra Indah,Theodorus Andri R,Jakarta Selatan,,,Restoran,44/175/A
Fat Burger,"Mall Pondok Indah, Jl. Metro Pondok Indah Lt. 2",PT. Global Food Indonesia,Chandur Parkash Prem Bharwani,Jakarta Selatan,021 7662637,021 7662637,Restoran,15/50/B
Fiddleheads,"Pondok Indah Mall Street Galery G9-10, Jl. Metro Pondok Indah",PT. Gourme Global Kulinari,H. Teuku Muhammad Revikash,Jakarta Selatan,021 29529733,021 29529755,Restoran,10/40/B
Fiesta Steak,"Plaza Semanggi, Jl. Jend. Sudirman Kav. 50 Plaza Semangi",CV. Fajar Indah Semesta,Indrasto Setiadi,Jakarta Selatan,021 25336615,,Restoran,4/16/C
Fiesta Steak,Jl. Metro Pondok Indah 2,CV. Fajar Indah Semesta,Indrasto Setiadi,Jakarta Selatan,021 75920638,,Restoran,4/16/C
Fiesta Steak,"Plaza Semanggi, Jl. Jend. Sudirman Kav. 50 ",CV. Fajar Indah Semesta,Indrasto Setiadi,Jakarta Selatan,021 25336615,,Restoran,4/16/C
Fiesta Steak,"Mal Pondok Indah 2, Jl. Metro Pondok Indah",CV. Fajar Indah Semesta,Indrasto Setiadi,Jakarta Selatan,021 75920638,,Restoran,4/16/C
Fiesta Steak,"Mal Ambassador, Jl. Prof. Dr. Satrio No. 14, Kuningan",CV. Fajar Indah Semesta,Indrasto Setiadi,Jakarta Selatan,,,Restoran,15/60/A
Fish & Co,"Gandaria City Lt. Gf. Unit MG-36, Jl. Sultan Iskandar",PT. Gading Food,Henky Rusli,Jakarta Selatan,,,Restoran,23/50/B
Fish & Co,"Mal Pondok Indah 2, Jl. Metro Pondok Indah",PT. Gading Food,Henky Ruli,Jakarta Selatan,,,Restoran,34/60/A
Fish & Co,"Cilandak Town Square, Jl. TB. Simatupang Kav. 1",PT. Gading Food,Henky Rusli,Jakarta Selatan,021 75920345,021 75920345,Restoran,8/64/A
Fish & Co,"Pacific Place Mal, Jl. Jend. Sudirman Kav. 52-53",PT. Graha Food Indonesia,Hengky Rusli,Jakarta Selatan,,021 201-108,Restoran,25/100/A
Fj Bistro & Deli,Jl. Kemang Raya No. 25,Bambang Sugiharto Surja,Bambang Sugiharto Surja,Jakarta Selatan,021 7187736,,Restoran,12/50/B
Fj Grill,"Empire Tower, Kemang Village, Jl. Kemang VI",PT. Kasih Agafe Jaya,Bambang Sugiharto Surja,Jakarta Selatan,021 7182715,021 7182716,Restoran,11/44/B
Fj On 7,"Gd. Colony 6 Kemang, Jl. Kemang Raya No. 6A",PT. Kasih Agafe Jaya,Bambang Sugiharto Surya,Jakarta Selatan,021 29056716,,Restoran,12/48/B
Fj Rottisserrie,Jl. Darmawangsa VI & IX,,Bambang Sugiharto Surja,Jakarta Selatan,021 72786550,,Restoran,10/50/B
Flour Flour,"Lotte Shopping Avenue Ciputra World, Jl. Prof. Dr. Satrio Kav. 3-5, Karet Kuningan, Setiabudi",PT. Kemistry Indonesia,Jessica Lesmana,Jakarta Selatan,,,Restoran,10/50/B
Fly Ginseng Chicken,"Gd. Bidakara, Jl. Jend. Gatot Subroto Kav. 71-73",CV. Heesu Sejahtera,Hendra,Jakarta Selatan,,,Restoran,15/45/B
Foodism,Jl. Taman Kemang II No. 14A RT014/RW001 ,PT. Foodism Arta,Ratna Marina I.V. Joesoef,Jakarta Selatan,021 75908536,021 75908538,Restoran,20/80/A
Fook Yew,"Gandaria City, Jl. Sultan Iskandar Muda",PT. Sinaran Sejahtera,Christian Rijanto,Jakarta Selatan,,,Restoran,15/50/B
Fortune,"Plaza 3 Pondok Indah Blok F No. 1-4, Jl. TB. Simatupang ",PT. Fortune Pondok Indah,Yogi Idham Fauzi,Jakarta Selatan,,,Restoran,10/40/B
Fourties,Jl. Kemang Raya No. 67 RT004/RW002,PT.Wahana Tirtamas,Dodi Laksamana,Jakarta Selatan,021 7191333,021 7191333,Restoran,20/80/A
Fuji Soba,"Lotte Shopping Avenue Ciputra World 1 Jakarta, Jl. Prof. Dr. Satrio Kav. 3-5, Karet Kuningan, Setiabudi",PT. Daitan Indonesia,Jessica Lesmana,Jakarta Selatan,021 3901138,021 3914067,Restoran,15/70/A
Fukuro,"Kawasan Niaga Terpadu Sudirman Lot. 14, Jl. Jend Sudirman Kav. 52-53",PT. Hanabusa Asia Pasifik,Ryo Okawa,Jakarta Selatan,,,Restoran,15/50/B
Gado Gado Boplo,Jl. Prof. Dr. Satrio No. 289,,Juliana Hartono,Jakarta Selatan,021 5134081,021 5134081,Restoran,10/40/B
Gado Gado Boplo,Jl. RS. Fatmawati No. 19 RT014/RW003,,Juliana Hartono,Jakarta Selatan,021 7660653,021 7660653,Restoran,10/40/B
Gado Gado Boplo,"Jl. RC. Veteran, Bintaro Raya RT004/RW012",,Juliana Hartono,Jakarta Selatan,,,Restoran,10/40/B
Gado Gado Cemara,Jl.Prof. DR. Satrio No. 64 RT001/RW001,PT.Cemara Resto,Tommy Djohan,Jakarta Selatan,,,Restoran,10/40/B
Gahyo,"SCBD, Jl. Jend. Sudirman Kav. 52 - 53",PT. Ga Hyo Sukses,Arif Purbo Warsono,Jakarta Selatan,021 52897044,021 52897541,Restoran,23/112/A
Galaxi Chandra Purnama,"Komp. Golden Fatmawati Blok H/4, Jl. RS. Fatmawati",PT. Galaxi Chandra Purnama,Simon Prasetio Liauw,Jakarta Selatan,021 75914687,021 75914687,Restoran,10/40/B
Gandaria Xxi Café,"Gandaria City, Jl. Sultan Iskandar Muda",PT. Nusantara Sejahtera,Tri Rudy Anitio,Jakarta Selatan,021 31901188,021 31901144,Restoran,12/48/B
Ganesha,Jl. Kemang Raya No. 3A-5 RT014/RW001,PT. Ganesha Sanskritik Indonesia,Jai Prakash Dave,Jakarta Selatan,021 5719415,021 5719415,Restoran,14/50/B
Gangnam,"Komp. Wijaya Graha Puri Blok F No. 20, Jl. Wijaya II, Kebayoran Baru",PT. YSJ Maju Global,Vransiy Munita,Jakarta Selatan,,,Restoran,20/100/A
Garuda,Jl. Sultan Iskandar Muda No. 79D,"H. Zulhelfi, SE","H. Zulhelfi, SE",Jakarta Selatan,,,Restoran,15/60/A
Gaya Sung,"Wijaya Graha Puri, Jl. Wijaya II Blok F. 45-57",PT. Kerin Jaya Makmur,R. Dede Waskita,Jakarta Selatan,021 7257373,021 7257373,Restoran,10/60/A
Gayo Coffee,"Mall Pondok Indah II Kav. IV/TA, Jl. Metro Pondok Indah",PT. Seruput Gayo Pondok Indah,Erlina Sira Putri,Jakarta Selatan,,,Restoran,10/40/B
Gayo Coffee,"Cilandak Town Square, Jl. TB. Simatupang Kav. 1",PT. Cipta Gayo Sepuluh,Hendry Nofizal,Jakarta Selatan,021 72801010,,Restoran,10/401/B
Gedung Putih,"Bapindo Plaza, Jl. Jend.Sudirman Kav. 54-55",PT. Putra Inko Perkasa,Lee Sang Hyun,Jakarta Selatan,,,Restoran,50/200/A
Geisha Eksekutif,"Mal Blok M, Jl. Melawai VIII/4",CV. Geisha Eksekutif,Ir. Buyung Achmad Yani,Jakarta Selatan,021 7233013,,Restoran,20/40/B
Gelato,"Darmawangsa Square, Jl. Darmawangsa VI & IX",PT. Selera Sukses Mandiri,Muljoyo Salim,Jakarta Selatan,021 72788310,021 72788320,Restoran,12/40/B
Georg Peck Coffee & Tea,"Plaza Semanggi, Jl. Jend. Sudirman Kav. 50",PT. Cheers Indonesia,Tjandra Rini,Jakarta Selatan,021 5355761,021 5355760,Restoran,10/50/B
Gingerepublic,Jl. Mega Kuningan Barat B 3-4,PT. Jala Boga,Teddy Rofiandi,Jakarta Selatan,021 3002999,,Restoran,30/100/A
Gingerepublic,Jl. Mega Kuningan Barat B 3-4,PT. Jala Boga,Teddy Rofiandi,Jakarta Selatan,021 3002999,,Restoran,30/100/A
Giovanese,"Gandaria City Lt.Mainstreet UG M-19, Jl. Sultan Iskandar Muda",PT. Graha Persada Nusa,Boejono Tjokro,Jakarta Selatan,021 29007939,021 29007943,Restoran,16/72/A
Gloria Jean's Coffee,Jl. Jend. Sudirman Kav. 50,PT. Penta Fili Investama,Drs. Merhasin Taslim,Jakarta Selatan,021 25536472,,Restoran,33/117/A
Gloria Jean's Coffee,Jl. Jend. Sudirman Kav. 50,PT. Penta Fili Investama,Drs. Merhasin Taslim,Jakarta Selatan,021 25536472,,Restoran,33/117/A
Gogo Ramen,Jl. Darmawangsa VI & IX,PT. Mitra Sarana Boga,Georgius Alexander,Jakarta Selatan,021 7205066,021 72787250,Restoran,10/40/B
Gogo Ramen,Jl. Darmawangsa VI & IX,PT. Mitra Sarana Boga,Georgius Alexander,Jakarta Selatan,021 7205066,021 72787250,Restoran,10/40/B
Gokana,"Mal Cilandak, Jl. Raya Cilandak KKO",PT. Champ Resto Indonesia,Ali Gunawan Budiman,Jakarta Selatan,,,Restoran,12/48/B
Gokana Teppan,Jl. Bulungan No. 76,PT. Champ Resto Indonesia,Drs. Yunus Ciptawilangga,Jakarta Selatan,,,Restoran,10/50/B
Goku Shabu,Jl. HR. Rasuna Said Kav. 62,PT. Indo Megah,Handi Kurniawan,Jakarta Selatan,021 5257393,021 5256763,Restoran,9/30/B
Gold Rush,"Blok M, Jl. Melawai IX/8 ",PT. Nada Asia Timur,Nizmah,Jakarta Selatan,021 7268259,021 7206406,Restoran,20/80/A
Golden Century,Jl. HR. Rasuna Said Kav. 62,,Ramdani,Jakarta Selatan,,,Restoran,10/40/B
Golfmax,Jl. Mega Kuningan Barat,PT. Golfmax Indonesia,Jeffry Djajasaputra,Jakarta Selatan,,,Restoran,10/50/B
Gourmand Bistro,Mall Pondok Indah I Street Galery GF No. G08,PT. Citarasa Jaya Lestari,Grace Dewi Brasali,Jakarta Selatan,,,Restoran,20/84/A
Graffiti,"Hotel Mercure, Jl. RA. Kartini No. 18 RT007/RW007",PT. Karya Propertindo Investama,Abby Ernest,Jakarta Selatan,021 7595262,021 75913667,Restoran,20/112/A
Grand Lotus,"Mal Kota Kasablanka, Jl. Casablanca Kav. 9-10",,Lam Olivia Dharma,Jakarta Selatan,,,Restoran,20/60/A
Gudeg Jogya,Jl. Tebet Barat Dalam VII/27,,Ny. Sulami,Jakarta Selatan,021 8292519,,Restoran,12/48/B
Gula Merah,Jl. HR. Rasuna Said Kav. 62,PT. Tripanca Jaya Lestari,Teddy Harsono,Jakarta Selatan,,,Restoran,10/40/B
Gusto Tapas And Wine Bar,"Rasuna Epicentrum, Jl.HR.Rasuna Said Epicentrum",PT. Allegra Boga Perdana Makmur,Mahardika Permana,Jakarta Selatan,021 29941199,021 29941198,Restoran,20/80/A
Gyoza,"Jl. Mega Kuningan Lot. 8.6-8,7/E.3.3 Unit C7",PT. Gyoza Boga Indonesia,Suprajitno Pegeng,Jakarta Selatan,021 5764364,021 5764364,Restoran,10/40/B
Gyu Kaku,"Pacific Place Mal, Jl. Jend.Sudirman Kav. 52-53",PT. Global Nusa Jaya Abadi,Ramon Benyamin Liando,Jakarta Selatan,,,Restoran,20/50/B
Haagen-Dazs Ice Cream,Jl. Sultan Iskandarmuda,PT. Rahayu Arumdhani,Widhi Darmawan,Jakarta Selatan,,,Restoran,10/50/B
Haagen-Dazs Ice Cream,Jl. Sultan Iskandarmuda,PT. Rahayu Arumdhani,Widhi Darmawan,Jakarta Selatan,,,Restoran,10/50/B
Hacienda Mexican Bar & Grill,"Mal Pondok Indah, Jl. Metro Pondok Indah",PT. Bahana Pondok Indah Makmur,Hari Setiawan,Jakarta Selatan,,,Restoran,14/60/A
Hakata Ikkousha,"Gd. Kemang Arcade Lt.1, Jl. Kemang Raya No. 2",PT. Rumah Bahagia Pertama,Sumitro,Jakarta Selatan,,,Restoran,15/50/B
Han Gang,"Street Gallery Pondok Indah Mall, Jl. Metro Pondok Indah",PT. Prioritas Prima Ideal,Arifin Leo,Jakarta Selatan,,,Restoran,24/98/A
Han Gang 99,Jl. Woltermonginsidi No. 99,PT. Prioritas Prima Ideal,Arifin Leo,Jakarta Selatan,021 72787802,021 2700105,Restoran,25/145/A
Han Min Jok,Jl. Wolter Monginsidi No. 88Q,PT. Prima Jaya Mandiri Sejahtera,Eli Haryani,Jakarta Selatan,021 7252688,021 7252688,Restoran,10/40/B
Hanamasa,Jl. Metro Pondok Indah,PT. Adi Boga Cipta,Rachmatullah,Jakarta Selatan,021 75915251,,Restoran,20/100/A
Hanamasa,"Mal Pondok Indah Blok III - B, Jl. Metro Pondok Indah",PT. Adi Boga Cipta,"H. Rachmatullah, SE.",Jakarta Selatan,021 75915251,021 8294341,Restoran,20/100/A
Hanamasa,"Pejaten Village, Jl. Warung Jati Barat, Warung Buncit",PT. Adi Boga Cipta,"H. Rachmatullah, SE",Jakarta Selatan,,,Restoran,12/50/B
Hanamasa,"Plaza Semanggi, Jl. Jend. Sudirman Kav. 50",PT. Adi Boga Citra,"H.Rachmatullah, SE",Jakarta Selatan,,,Restoran,12/50/B
Hanamasa,"Poins Square Shopping Mall, Jl. R.A. Kartini No. 1",PT. Adi Boga Cipta,H. Rachmatullah,Jakarta Selatan,,,Restoran,12/50/B
Hanamasa,"Mal Ambassador Lt. 1 No. 36, Jl. Prof. Dr. Satrio No. 14",PT. Adi Boga Cipta,"H. Rachmatullah, SE",Jakarta Selatan,,,Restoran,12/50/B
Hanamasa Yakiniku,Jl. Mahakam I No. 160,PT. Adiboga Cipta,Rachmatullah,Jakarta Selatan,021 7202366,,Restoran,15/60/A
Hanei,"Mal Pondok Indah 2 Lt. 3 # 326, Jl. Metro Pondok Indah",PT. Kencana Langgeng Rasa,Ben Aristarchus Widyatmodjo,Jakarta Selatan,021 75920744,021 75920744,Restoran,13/53/A
Hanei Ramen & Sushi,"Mall Pondok Indah I Lt.2 #201, Jl. Metro Pondok Indah",PT. Kencana Langgeng Rasa,Ben Aristarchus W,Jakarta Selatan,,,Restoran,12/58/A
Hang Gang,"Pacific Place Mal, Jl. Jend.Sudirman Kav. 52-53",PT. Prioritas Prime Ideal,Arifin Leo,Jakarta Selatan,,,Restoran,10/40/B
Hangoga,Jl. HR. Rasuna Said,PT. Hangoga Indonesia,Akhmad Dwiyoga Meidianto,Jakarta Selatan,,,Restoran,50/200/A
Hangoga,Jl. Prof. Dr. Satrio Kav. 18,PT. Hangoga Indonesia,Akhmad Dwiyoga Meidianto,Jakarta Selatan,,,Restoran,35/140/A
Hansol,Jl. Widya Chandra VIII No. 33,PT. Hansol Mulia,Nur Inayah,Jakarta Selatan,,,Restoran,13/52/A
Happy Puppy,"Gd. La Codefin, Jl. Kemang Raya No. 8",PT. Mitra Musika Sejati,Louis Fransiskus Hartanto,Jakarta Selatan,,,Restoran,14/40/B
Happy Puppy,"Komp. Golden Plaza Blok A17 - A1, Jl. Fatmawati ",PT. Mitra Imperium Abadi,Melinna Aprilia,Jakarta Selatan,021 7507520,021 7507520,Restoran,20/50/B
Hard Rock Café,"Pacific Place Mall Lot. 3-5, Jl. Jend. Sudirman Kav. 52-53",PT. Harum Rahayu Citra,Handi Jatna,Jakarta Selatan,,,Restoran,25/100/A
Healthy Choice,Jl. Mega Kuningan Barat,PT.Indospirit Natura,Stevan Lie,Jakarta Selatan,021 30029770,021 30029768,Restoran,17/34/B
Helen's Bistro,Jl. Wolter Monginsidi No. 63 B,PT. Sumber Cipta Rasa,Helen Sutanto,Jakarta Selatan,021 7258885,021 7265111,Restoran,13/40/B
Hema,"TIS Square, Jl. MT. Haryono Kav. 8-9",CV. Hema,Ratna Savitri Handayani,Jakarta Selatan,021 8295548,021 8293932,Restoran,30/90/A
